i,j,weight,stability
DeepSeek-V3.1,Mistral-Large-2,0.0877207431138883,0.188
Gemma-1,Qwen3.6,0.07470112897355202,0.188
Llama-3.3,Phi-1.5,0.08302350660288149,0.188
Gemma-4,Mixtral-8x7B,0.08297641631038662,0.186
Mistral-7B,Phi-3.5,0.08681003418663416,0.186
Mistral-Small-3.1,Qwen3.6,0.07545172746726095,0.184
DeepSeek-V3.2,Mistral-Small-3.1,0.07866785825466723,0.184
Gemma-4-12B,Ministral-3,0.07681204136839233,0.182
Mixtral-8x7B,Phi-4,0.08584682308265222,0.18
Gemma-2,Gemma-4,0.08285196592744569,0.18
Llama-3,Qwen-7B,0.07799164432323678,0.178
Gemma-4,Mistral-Small-3,0.08023402246599952,0.178
DeepSeek-V4,Phi-2,0.07396453644754407,0.178
Llama-3,Qwen3.5,0.08342732722979093,0.178
Mistral-Small-3.2,Phi-2,0.07544907965497022,0.176
Gemma-4,Mistral-Small-3.1,0.08348183774112489,0.176
Gemma-3,Mistral-Medium-3,0.07531928367563291,0.176
DeepSeek-V3.2,Qwen-7B,0.07734140739947944,0.174
Llama-3.2,Mistral-Small-2,0.07171188527013035,0.174
Gemma-1,Mistral-Medium-3,0.07636792900382515,0.174
Llama-3.1,Mixtral-8x7B,0.08504646017002877,0.172
Llama-4,Mistral-Small-3.2,0.07558808571695845,0.172
Mistral-Large-3,Mistral-Small-2,0.06481932185100084,0.172
Phi-2,Qwen-7B,0.07936548784814088,0.172
Llama-3,Qwen3.6,0.07735480883030482,0.172
Gemma-4,Qwen1.5,0.07846238291612592,0.17
Mistral-7B,Qwen1.5,0.08186988045403432,0.17
Phi-1,Qwen3,0.07119158487319148,0.168
Llama-4,Qwen1.5,0.08163265044001013,0.166
Gemma-2,Qwen3.5,0.08094443905981036,0.166
Llama-3.1,Phi-1,0.07210996544558344,0.166
Gemma-1,Qwen1.5,0.08235595366000947,0.164
Mistral-Small-3.2,Qwen3,0.07082829441628381,0.162
Llama-3.1,Qwen2.5,0.07417626409853405,0.162
DeepSeek-R1,Qwen3.6,0.07009753775126457,0.162
Phi-4-reasoning-vision-15B,Qwen3.6,0.07417907422133654,0.162
Ministral-3,Mistral-Small-3.1,0.08243576473414993,0.16
DeepSeek-V3,DeepSeek-V4,0.07047728810330604,0.16
DeepSeek-V4,Llama-3.2,0.07445878563776204,0.16
Llama-3,Mistral-7B,0.08315588151411539,0.16
DeepSeek-V4,Qwen3.5,0.07548603656210776,0.16
Gemma-3,Qwen2,0.07887682521447532,0.16
Llama-3.2,Qwen2.5,0.07488061234492362,0.158
Mistral-Medium-3,Qwen-7B,0.07091287883475395,0.158
