i,j,weight,stability
DeepSeek-V4,Mixtral-8x22B,0.02858767581442949,0.002
Llama-1,Phi-4,0.026314867079005336,0.002
DeepSeek-V3,Phi-4-reasoning-vision-15B,0.03128967578428366,0.002
Llama-3.3,Mistral-Small-4,0.03022589876854936,0.002
Mistral-Large-3,Phi-3,0.018276906061556283,0.002
DeepSeek-V3.1,Llama-1,0.01103128699319336,0.002
DeepSeek-V4,Phi-4,0.03889245788173004,0.002
Llama-1,Mistral-Small-4,0.03381536696862413,0.002
Llama-1,Llama-3.3,0.035265292965761,0.002
DeepSeek-V3,Mixtral-8x22B,0.009911609574423165,0.002
Gemma-1,Llama-3.3,0.03530057730059356,0.002
Gemma-3,Phi-3.5,0.0402818237061635,0.002
Phi-3.5,Qwen3.6,0.022697660402622114,0.002
Gemma-1,Mistral-Small-2,0.03535635209096522,0.002
Llama-3.2,Mixtral-8x7B,0.048258474735075114,0.002
Llama-1,Llama-3.1,0.02943661377050397,0.002
Llama-3.1,Mistral-Medium-3,0.024477624835710567,0.002
DeepSeek-V3.2,Mistral-7B,0.03432388101199687,0.002
DeepSeek-R1,Gemma-2,0.03668171881644107,0.002
Qwen1.5,Qwen2,0.023297990227512427,0.002
Mistral-Medium-3.5,Qwen3.6,0.01502301241300859,0.002
Devstral-2,Mistral-Small-2,0.03181469725228679,0.002
Phi-4,Phi-4-reasoning-plus,0.042321453228680764,0.002
Mistral-Small-2,Phi-1,0.021201396559403413,0.002
Llama-3,Llama-3.1,0.05011752233408243,0.002
Mistral-Medium-3.5,Phi-1,0.042925987132309155,0.002
Gemma-4,Mistral-Small-2,0.038880918834598,0.002
DeepSeek-V3.1,Devstral-2,0.03966124580685778,0.002
DeepSeek-R1,Phi-2,0.03654237340485921,0.002
Mistral-7B,Phi-4-reasoning-vision-15B,0.05635944003275383,0.002
Llama-3,Mistral-Large-2,0.04897911399689949,0.002
Mistral-Large-3,Mistral-Small-3.2,0.029601418386317014,0.002
Mistral-7B,Mistral-Small-3,0.0225954731439635,0.002
Mistral-Large-3,Qwen2,0.03220980516112639,0.002
Phi-3,Qwen-7B,0.03356224552481749,0.002
