scenario,rep,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,audit_hard_fail,cond
S3,8,2.061153622438558e-09,0.43546061672972136,0.24314690524446786,3.037327983311912e-09,0.6416973011738106,0.3583026957888613,False,
S3,9,0.2129779308397662,0.15937337470873347,0.2622922661100173,0.33558668258970936,0.25112264872114326,0.4132906686891474,False,
S3,10,0.9606794673406803,0.2997600224497804,0.3342992774190465,0.6024055394487516,0.18796810400132433,0.20962635654992406,False,
S3,11,0.17875000110623113,0.4211528381121964,0.24980750590795656,0.21036580539647806,0.4956428276150445,0.2939913669884774,False,
S3,12,0.25674160095557064,0.3509220911987703,0.42816916938282407,0.2478600655462589,0.3387825432357935,0.41335739121794757,False,
S3,13,0.9785798943624213,0.3908754710435143,0.28632685246778816,0.5910076118700361,0.23606695785479434,0.17292543027516952,False,
S3,14,0.09874053416340789,0.2404866562784169,0.32340351490773533,0.14901291679702483,0.36292712416873596,0.48805995903423915,False,
S3,15,0.1578006108413659,0.5388412388922521,0.24859284579713586,0.16694331216096558,0.5700607917165907,0.26299589612244373,False,
S3,16,0.2071530067072957,0.4095794219909116,0.23157645040059555,0.24419525931092906,0.4828187374698076,0.2729860032192635,False,
S3,17,0.3746287877545906,0.2997466330208783,0.21732521834035057,0.42012842799581257,0.3361516408893651,0.24371993111482235,False,
S3,18,0.6658009276973735,0.12970030926675172,0.2864761835325049,0.6153556581539099,0.11987339736463166,0.2647709444814585,False,
S3,19,0.3541761361032822,0.28017804099629723,0.25828087150929174,0.3967759686954357,0.31387748154516365,0.2893465497594006,False,
S3,20,0.2280417024354842,0.3726190834238225,0.27427773845024594,0.26063740034243044,0.42588030252510645,0.31348229713246306,False,
S3,21,0.2610468285549632,0.6159929680252277,0.4068422678320298,0.20332617441343737,0.4797893709242196,0.3168844546623431,False,
S3,22,0.254910493870243,0.36084012930294523,0.17233307451236177,0.3234561184539993,0.45787031296632985,0.21867356857967093,False,
S3,23,0.004697019553582965,0.3401721456580031,0.4269878189050065,0.006085349553400503,0.4407191392422751,0.5531955112043243,False,
S3,24,0.16958979900133633,0.47773672152329555,0.23891697719267618,0.19135801778873157,0.5390580836460849,0.26958389856518344,False,
S4,0,0.4825802303144626,0.41923580488065754,0.2455995070912902,0.4205801756466047,0.3653739987217383,0.21404582563165706,True,7.868289373561322e+17
S4,1,0.1220509624141259,1.0596363918225606,0.33394432236157284,0.0805281153057329,0.6991384570431045,0.2203334276511626,True,7.868289373561322e+17
S4,2,0.37729727177645433,0.00017056263893649009,0.2728163036172603,0.5802037135919037,0.0002622894039096584,0.41953399700418653,True,7.868289373561322e+17
S4,3,0.737777820714094,0.861454607030014,0.30681614169364363,0.3870718892182924,0.4519583712833335,0.16096973949837418,True,7.868289373561322e+17
S4,4,0.5940952651030507,0.0018360182494293852,0.4973860703466887,0.5433877575371576,0.0016793095282145992,0.45493293293462783,True,7.868289373561322e+17
S4,5,0.4477400280472143,0.08572753954752822,0.6100952960819368,0.3915307520634951,0.0749653055992959,0.5335039423372091,True,7.868289373561322e+17
S4,6,0.5649246883645361,0.3451845655621146,0.10876956874707537,0.5544571894055758,0.33878863499811157,0.10675417559631277,True,7.868289373561322e+17
S4,7,0.0012268981032191064,0.08203932643521207,0.23720318453893016,0.003828440620124628,0.2559973717036055,0.74017418767627,True,7.868289373561322e+17
S4,8,0.26647220357761336,0.2685526944465712,0.45763880850634403,0.26844156971242933,0.2705374364750305,0.4610209938125402,True,7.868289373561322e+17
S4,9,0.0011218120425879746,0.5002837454394689,0.39950159665688834,0.0012452027242032088,0.5553111029711182,0.44344369430467856,True,7.868289373561322e+17
S4,10,0.08361043406362943,1.0828549247400614,0.17748808644078057,0.06221229936161985,0.80572353794821,0.13206416269017016,True,7.868289373561322e+17
S4,11,0.25702179942900943,0.024977921185737745,0.36048712180623116,0.4000421214238662,0.038876938073342505,0.5610809405027911,True,7.868289373561322e+17
S4,12,0.547723794839166,0.03808383974500692,0.18333855843226615,0.7121192301441442,0.04951443573509691,0.23836633412075878,True,7.868289373561322e+17
S4,13,0.15365308241975456,0.6198300311701297,0.20931567653681987,0.15634236016910982,0.6306784637883204,0.21297917604256975,True,7.868289373561322e+17
S4,14,0.043722561767457556,0.3723078913920046,0.40646095087439194,0.05315868537108495,0.4526587020436268,0.49418261258528834,True,7.868289373561322e+17
S4,15,1.0426626607160319,0.14408524085372365,0.457176812226295,0.6342520749069944,0.08764710430139518,0.2781008207916105,True,7.868289373561322e+17
S4,16,0.0008200640428053402,0.07499897622983394,0.46041582027756284,0.0015293001315951672,0.13986217933105183,0.858608520537353,True,7.868289373561322e+17
S4,17,0.5690905821033261,0.32218593084908315,0.3029725749408369,0.47652586706785666,0.26978118226361447,0.25369295066852887,True,7.868289373561322e+17
S4,18,0.7088703472283508,0.09678099398539507,0.48285746421285597,0.5501478486161038,0.07511085184501524,0.374741299538881,True,7.868289373561322e+17
