rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,llf
43,A,0.3249207044491567,2.061153622438558e-09,0.3326518005698555,0.4941214861489716,3.1344887449609853e-09,0.5058785107165396,9.450776345476914e-15,0.7703612229302695,6.728184643476318e-14,0.999999999999961,2.2132716606971678e-14,0.7848898626194974,1,0,-4.864601946166822
44,A,0.6743995358512928,0.14456666963398765,0.23625777338716297,0.639105582657362,0.13700093300425562,0.2238934843383824,0.27192309285589594,0.8682998951826894,0.02251891094848038,0.523195219037639,0.062401451140794505,0.5089285998464671,1,0,-5.87103162688345
45,A,0.9724514972192795,0.36388147779057084,0.21851455967454125,0.6254320603959868,0.23403032752303446,0.1405376120809788,0.24646250899447042,0.8740907908267543,0.04230706596223925,0.6346722524212778,0.043385409635575835,0.34105645677776864,1,0,-9.680523811416904
46,A,2.061153622438558e-09,2.061153622438558e-09,0.37850330806662624,5.445536554273834e-09,5.445536554273834e-09,0.999999989108927,8.75651076269611e-27,0.9999999999999728,8.756510762696121e-27,0.9999999999999726,1.3333926272484229e-14,0.9999999999996225,1,0,-2.5798730689121285
47,A,0.5656856726478603,0.29215347073256714,0.18856369272729692,0.5406002861689725,0.27919789649967147,0.18020181733135593,0.20194416552305552,0.838236720918317,0.07924351562583365,0.5688839342121522,0.0583853441835327,0.37071779246211467,1,0,-4.982826431588521
48,A,0.46627333811194693,0.01553923684000407,0.20642993660238276,0.6774840703444932,0.022578141540414442,0.29993778811509236,0.19008477759918196,0.8825486101602369,0.0001751877750662984,0.6772132599787417,0.06732640531041549,0.6191726324641745,1,0,2.8864363599977843
49,A,0.8079300716524043,0.3522126633015814,0.12715216884430652,0.6276184806360422,0.27360681865697034,0.09877470070698746,0.27600935024093304,0.8768180721270551,0.07744342806682943,0.5828459518051314,0.030755348483468704,0.22919953427801376,1,0,-0.8104452060855323
50,A,0.9075997648335122,0.06035970767793839,0.3948456853869685,0.6659791090262097,0.04429078311606852,0.2897301078577218,0.2795343980054227,0.8771889223133781,0.002138087274689773,0.43019822605422453,0.086763563813374,0.6004917989656948,1,0,-13.152828296696462
51,A,0.792950829302305,0.06409966117976512,0.2482565970374324,0.7174031889018478,0.05799262657730322,0.22460418452084888,0.3737827871514986,0.9035177777222025,0.008274895116305317,0.31252804781919336,0.0680714430332899,0.501274957314173,1,0,-4.454391067460904
52,A,0.29645105014104906,0.2600200712272344,0.3227732306285665,0.3371657144771868,0.29573129544330123,0.3671029900795119,0.08734324918085412,0.7051840920295865,0.08296913254396081,0.600802164214827,0.11257911571721138,0.6735558260471027,1,0,-11.612149571867041
53,A,0.1542056417487489,0.1384533535802895,0.37344999393648676,0.23150211787230401,0.20785390350752206,0.5606439786201739,0.03939028017256512,0.6668464931959136,0.03478596786569695,0.580156992881617,0.20447198723791907,0.8057543420714031,1,0,-10.472069196667182
54,A,0.8172428803522219,0.1750981700002427,0.3008880798762139,0.6319397400271295,0.13539609177321926,0.23266416819965122,0.27472457645896736,0.8775199200848336,0.03118387081182858,0.377905753867343,0.07364833463519277,0.4853782318627844,1,0,-11.121616780660375
55,A,0.3279284446180968,0.1472548962382821,0.20802020912406513,0.4799864471247015,0.21553590616222223,0.30447764671307614,0.16061516380492855,0.8005284789089208,0.05473892012477817,0.5064395523069367,0.10051477773526139,0.5752851150996382,1,0,-2.1506430957148126
56,A,0.6780550813672586,0.25349667790220426,0.46595182164372856,0.48519022822409297,0.1813925068703997,0.33341726490550727,0.15577326083325607,0.7880923988651313,0.030989549099451487,0.5978406202601187,0.10673038468348696,0.6143338178823836,1,0,-19.485991829990102
57,A,0.040378308697277106,0.13052819902607599,0.28118674555231465,0.08931411474228766,0.2887196348990532,0.6219662503586592,0.005476976726510765,0.6339878665440393,0.05541333675096567,0.654938559397634,0.2138929752709492,0.8471134779400674,1,0,-3.105165001666869
58,A,0.44155280180714185,0.14237428248136172,0.280088961026579,0.5110469929364794,0.16478198900744,0.3241710180560806,0.17486176685366459,0.8217845626480682,0.03399241879321514,0.45451961215616915,0.10754019380206183,0.5921301813736793,1,0,-7.70980117213246
59,A,0.16126998173882925,0.19811006217610785,0.36553746910621376,0.22246666529923367,0.2732863513677143,0.504246983333052,0.0354438954693929,0.6497448847270151,0.06072889330128696,0.6325919295780877,0.14567226276991171,0.8080340969162718,1,0,-11.423221614571077
60,A,0.15153345008824584,0.4743134199909427,0.19768635079616687,0.18400405259568872,0.5759493460224742,0.24004660138183712,0.036480875052001906,0.5610405269909431,0.24509217802415467,0.8056820054278958,0.08826101967749557,0.4572238647458159,1,0,-5.335019561174565
61,A,0.2828394110184164,0.20152687501027955,0.29271062215786475,0.3639786590473646,0.25933967781976214,0.37668166313287327,0.10192399635537358,0.7160079660690921,0.05702593206347642,0.6197780588073283,0.1364626136197374,0.6400339852004124,1,0,-8.814612713365479
62,A,0.957017374869724,0.11992445987745537,0.2370632217353165,0.7283209224716347,0.09126636102792873,0.18041271650043642,0.38876002658594483,0.9112565574493336,0.01838648583092302,0.3107684553009554,0.05269964288102596,0.4368895262248544,1,0,-6.0603788837787
63,A,1.0682205456830007e-08,0.2549062636125109,0.3207759155353609,1.855573378079153e-08,0.4427899075490784,0.5572100738951878,9.935657330310854e-14,0.9999999999999624,9.815566599231474e-15,0.6794119095875752,1.9819045636989435e-14,0.7798271399122377,1,0,-6.638209387754376
64,A,0.2974721990557636,0.053160100019260526,0.3875304314182094,0.4029900003986864,0.07201677600783155,0.5249932235934821,0.10443101537773684,0.7406422112308987,0.0036394319785484006,0.5476768704891032,0.17556252468159286,0.8096301493516332,1,0,-10.066524257095514
65,A,1.798062930315928,0.16271839459358797,0.34732074078320113,0.7790222785387465,0.07049878643245885,0.15047893502879467,0.41771337044758966,0.9262627534200027,0.008801627058511199,0.40743927880967634,0.041951870702210695,0.3832124537603071,1,0,-15.17127141250442
66,A,0.8360605099404814,0.3029496520398352,0.26265492550233605,0.5964766600857702,0.21613554817429567,0.18738779173993425,0.2393018886464989,0.8632542174072285,0.05161441875721162,0.5178595524203107,0.058880499427617625,0.40014382233246326,1,0,-11.303452537523768
67,A,1.1144103124365392,0.07164275613666601,0.21174706360054846,0.7972601281010698,0.05125393429835536,0.1514859376005748,0.4852078408622862,0.9336662387810799,0.008840201014252312,0.2518878610651559,0.046244773351158765,0.3781806959612148,1,0,-2.764705312992305
68,A,0.6776481630729878,0.44270029867899924,0.2883039548325199,0.48106130021488863,0.31427220332492933,0.2046664964601821,0.16612041492701218,0.803717229074728,0.09411180088838537,0.6020136488598549,0.07102759781302019,0.4036684500276097,1,0,-14.130803884223551
69,A,0.5333954177762993,0.22947347383489117,0.25335273237863937,0.5248809956258492,0.22581046143649833,0.24930854293765242,0.18000967441189503,0.8331181776895753,0.053057112155178776,0.545175378693982,0.07796967330933671,0.5000365442092166,1,0,-8.39904978955241
70,A,0.1675619570290169,0.06627154865736856,0.43574579229486704,0.25024960827523746,0.09897490686640688,0.6507754848583558,0.04262040458594036,0.6664471173466111,0.0067018832502911,0.6207270701915109,0.18494957103298343,0.8940195344338242,1,0,-11.605320894526102
