rep,scenario,path,occ,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,bias_pp_family,bias_pp_era,era_boundary,ranking_ok,converged
7,B,glmm,d2,0.19678264098523202,0.5707430942377574,0.19704316551978387,0.20401097405659474,0.5917079576153166,0.2042810683280887,0.40109740565947294,9.170795761531657,0,1,1
8,B,lpm,d2,0.0015891553700072025,0.03388967897209192,0.023198036586953262,0.02708316487988408,0.5775645230480805,0.39535231207203547,-17.291683512011595,7.7564523048080485,0,1,1
8,B,glmm,d2,6.15168326571855e-06,0.48730151373505143,0.4446930122780081,6.60051372593847e-06,0.5228553212424052,0.47713807824386895,-19.999339948627405,2.285532124240519,0,1,0
9,B,lpm,d2,0.036890908915866445,0.031436925175137055,0.013388117141640869,0.4514529704346028,0.3847097745412825,0.16383725502411461,25.14529704346028,-11.529022545871747,0,0,1
9,B,glmm,d2,0.8187135802366258,0.8151570375944017,0.25337328270463216,0.4338143999322233,0.43192988323503617,0.13425571683274046,23.38143999322233,-6.807011676496383,0,0,1
10,B,lpm,d2,0.004215286160503154,0.036296452094979614,0.028118882048539424,0.06141990472809571,0.5288667352005911,0.40971336007131326,-13.858009527190429,2.886673520059113,0,1,1
10,B,glmm,d2,6.146669259349826e-06,6.914402888323809e-13,1.5764026694004487,3.899159403759213e-06,4.3861736992563383e-13,0.9999961008401577,-19.999610084059626,-49.99999999995614,1,0,0
11,B,lpm,d2,0.010346379901293456,0.02903265401043186,0.012422061684842401,0.1997328392795421,0.5604640920443299,0.23980306867612802,-0.026716072045790407,6.04640920443299,0,1,1
11,B,glmm,d2,0.2827793900675436,0.7041298808917695,0.14683660713646035,0.24942043497657218,0.6210649974528842,0.1295145675705436,4.942043497657217,12.106499745288424,0,1,0
12,B,lpm,d2,0.005124571169852525,0.019056139606678287,0.012067731596253252,0.1413735552317177,0.5257091990519833,0.3329172457162988,-5.86264447682823,2.5709199051983322,0,1,1
12,B,glmm,d2,0.10000354118707323,0.3240529478655305,0.15952817480276654,0.17136081083148047,0.5552800954787265,0.273359093689793,-2.8639189168519543,5.528009547872648,0,1,1
13,B,lpm,d2,0.009429313731068499,0.016242158642082175,0.017017248646366757,0.22088536517075283,0.38047892403841765,0.3986357107908296,2.0885365170752817,-11.952107596158235,0,1,1
13,B,glmm,d2,0.16984211646907685,0.32465796135056435,0.1918210584489206,0.2474674135674827,0.473040890326775,0.27949169610574226,4.746741356748268,-2.6959109673225012,0,1,1
14,B,lpm,d2,0.0017635402631979214,0.02439561551345182,0.019999172927175367,0.03820632836413287,0.5285203385500865,0.4332733330857807,-16.179367163586715,2.852033855008651,0,1,1
14,B,glmm,d2,6.147379718629567e-06,6.914399881994407e-13,1.0759760072213103,5.713272931468874e-06,6.426128772139166e-13,0.999994286726426,-19.999428672706856,-49.99999999993574,1,0,0
15,B,lpm,d2,0.008021081951208884,0.06629753700570015,0.0167176985618658,0.08810859412843297,0.7282537212912562,0.18363768458031085,-11.189140587156704,22.825372129125622,0,1,1
15,B,glmm,d2,0.22317989743891717,1.5044634803782704,0.2217245036838766,0.1144883423784857,0.7717699130344726,0.1137417445870417,-8.551165762151431,27.176991303447263,0,1,1
16,B,lpm,d2,0.013583877412794527,0.03892074449890708,0.012308475914583379,0.20958537499939678,0.600507394403894,0.18990723059670928,0.9585374999396767,10.0507394403894,0,1,1
16,B,glmm,d2,0.2461334746948079,0.8983296094780325,0.2223706319849725,0.18007565352330657,0.657234013807655,0.16269033266903832,-1.9924346476693444,15.7234013807655,0,1,1
17,B,lpm,d2,0.0014967966018798668,0.028780359789630307,0.01417667238230443,0.03367081403709258,0.6474213939156416,0.3189077920472658,-16.632918596290743,14.742139391564157,0,1,1
17,B,glmm,d2,6.166962979521351e-06,0.483283750618149,0.2426974475862406,8.494587200012249e-06,0.6656916825360077,0.3342998228767923,-19.99915054128,16.569168253600775,0,1,0
18,B,lpm,d2,0.020528942244964845,0.04102192241224169,0.005846272211321081,0.3045966520063143,0.6086597193626138,0.08674362863107185,10.459665200631429,10.865971936261376,0,1,1
18,B,glmm,d2,0.496374827549488,0.9712214447073321,0.04049449773746124,0.3291412144584442,0.6440072865846231,0.026851498956932677,12.914121445844417,14.400728658462313,0,1,1
19,B,lpm,d2,0.011616714528794335,4.049031478326019e-09,0.033672324415769894,0.2565016560503839,8.940421812177815e-08,0.743498254545398,5.650165605038388,-49.999991059578186,1,0,1
19,B,glmm,d2,6.152339638903919e-06,6.914398442036241e-13,0.9106156378922342,6.756196375811156e-06,7.593051820416428e-13,0.9999932438028649,-19.99932438036242,-49.99999999992407,1,0,0
