rep,scenario,s2_family,s2_era,s2_unique,share_family,share_era,share_unique,ci_family_low,ci_family_high,ci_era_low,ci_era_high,ci_unique_low,ci_unique_high,converged,n_convergence_warnings,d_collinearity,d_se_inflation,d_profile_flat,d_non_convergence,detected,silent_ci_covers
19,B,0.5844676213880206,0.39609562403314075,0.25810106652386433,0.47185312093980825,0.31977640771063104,0.20837047134956074,8.756510762696105e-27,0.9999999999999876,8.756510762696107e-27,0.9999999999999868,1.1026367368669274e-14,1.937262494632226e-09,1,0,1,1,1,0,1,0
20,B,0.00741020079862371,0.9471037751111814,0.185033523473936,0.006502757280965552,0.8311226830152917,0.16237455970374273,8.756510762696286e-27,0.999999999999991,8.756510762696288e-27,0.9999999999999881,8.25435233462549e-15,0.02492510040433312,1,0,1,1,1,0,1,0
21,B,0.28714844763757014,0.8068975748008264,0.2146882997823813,0.21940927410714717,0.6165480350753009,0.16404269081755182,8.756510762696174e-27,0.9999999999999899,8.756510762696173e-27,0.9999999999999892,9.072006029696643e-15,4.4270319262218807e-14,1,0,1,1,1,0,1,0
22,B,1.0536504709189873,0.8085830398169831,0.19163710204325904,0.5130072285776671,0.39368742840272464,0.09330534301960827,8.756510762696204e-27,0.9999999999999912,8.756510762696219e-27,0.9999999999999901,8.095677695368653e-15,3.9574564152752496e-14,1,0,1,1,1,0,1,0
23,B,0.017999249298245222,0.6215966791249012,0.19680878211599406,0.021519784706428822,0.7431769229566204,0.23530329233695074,8.756510762696234e-27,0.9999999999999907,8.756510762696242e-27,0.999999999999989,8.569398167851605e-15,0.008598180759562734,1,0,1,1,1,0,1,0
24,B,0.5845051019878236,0.05264174397097947,0.49995837369774804,0.514029037844331,0.04629452319889911,0.43967643895676994,8.756510762695721e-27,0.9999999999999766,8.756510762695727e-27,0.9999999999999748,2.1271370512570423e-14,3.208106249931751e-12,1,0,1,1,1,0,1,0
25,B,0.036271164610565024,0.9978359261744455,0.5385225710003766,0.023064021677797187,0.6345015297763205,0.34243444854588245,8.756510762695735e-27,0.9999999999999746,8.756510762695757e-27,0.99999999999997,2.3705124908376565e-14,0.014438982697854284,1,0,1,1,1,0,1,0
26,B,0.14543893623334433,0.23708959637863003,0.17305688383105355,0.26177601486459867,0.4267383364677323,0.311485648667669,8.75651076269624e-27,0.999999999999992,8.756510762696243e-27,0.9999999999999912,7.34310211560242e-15,4.360350279083669e-14,1,0,1,1,1,0,1,0
27,B,3.0266086024394606e-05,0.11210323887450624,0.14953572886445252,0.00011566543602385448,0.4284158180762139,0.5714685164877623,1.2180183644164914e-13,0.9999999999999868,1.823820859789133e-15,0.8427212958508584,6.913549674953996e-15,0.8623766412789231,1,0,1,1,1,0,1,1
28,B,0.4520256265461179,0.15981265575747972,0.5907309110283205,0.3758832581547393,0.13289269061906714,0.4912240512261937,8.756510762695573e-27,0.9999999999999726,8.75651076269558e-27,0.9999999999999702,2.5084055217108444e-14,1.4413887701984734e-13,1,0,1,1,1,0,1,0
